Month,Actual,SARIMA_Predictions,Exponential_Smoothing_Predictions
1955-02-01,233,228.71045159273393,237.64194186438456
1955-03-01,267,279.0269544031174,271.4311271639464
1955-04-01,269,262.6216332179006,255.17273774311013
1955-05-01,270,268.19007562586336,262.56661677108355
1955-06-01,315,294.89117204693446,295.90946067591256
1955-07-01,364,340.9003108553163,342.0650239134137
1955-08-01,347,359.61798980189644,360.8439161946294
1955-09-01,312,315.6903690068492,306.8593080729545
1955-10-01,274,281.9836274284569,271.41185934636167
1955-11-01,237,249.16329312360122,235.93740056628246
1955-12-01,278,262.3460305451318,265.33237576760024
1956-01-01,284,284.8937307434316,278.9129358683113
1956-02-01,277,275.68482249696734,277.5073586793627
1956-03-01,317,312.32676422999356,319.1154608009097
1956-04-01,313,316.59908516647715,305.2664025806927
1956-05-01,318,316.2776934697955,308.03706596442976
1956-06-01,374,358.49853071747594,353.17112573835954
1956-07-01,413,418.8324080652315,412.92684794962173
1956-08-01,405,400.00410689055735,405.66077825133925
1956-09-01,355,367.4961597776132,357.22198125788753
1956-10-01,306,323.56314836903493,309.2786847876491
1956-11-01,271,272.61075506854723,263.27314794930703
1956-12-01,306,308.7546491690874,305.28547398931494
1957-01-01,315,314.5480141553579,309.2727568020937
1957-02-01,301,307.37421462796635,306.61340845527434
1957-03-01,356,340.8972573370706,346.11921341303247
1957-04-01,348,349.2283708139251,342.67628402086956
1957-05-01,355,354.8649601085898,344.8360578305035
1957-06-01,422,407.23341332610596,399.7517959901979
1957-07-01,465,460.6422808691315,465.0842275191913
1957-08-01,467,455.51645120299537,455.6744163090585
1957-09-01,404,416.98592096312177,409.0926176968055
1957-10-01,347,361.0703384577352,349.90829607235696
1957-11-01,305,311.9077221264845,299.4288911707214
1957-12-01,336,342.48601830826215,342.8924205501211
1958-01-01,340,344.9241363629153,341.0584395039878
1958-02-01,318,327.5379489708882,329.264286422714
1958-03-01,362,373.00709673503775,368.2773983400337
1958-04-01,348,355.4407445036946,350.9966198595759
1958-05-01,363,355.60801427863134,347.99621014221395
1958-06-01,435,426.919007893725,413.8623551984249
1958-07-01,491,476.5705155253343,479.59913018482
1958-08-01,505,489.72499352702704,483.66226036181484
1958-09-01,404,441.87821655014426,440.87618486977897
1958-10-01,359,356.05135015741394,351.0237680886695
1958-11-01,310,312.9407171065155,310.2773572282585
1958-12-01,337,344.7738022844229,347.13842773949955
1959-01-01,360,342.27913708860973,342.2266600989572
1959-02-01,342,333.37966198061514,343.71260994652175
1959-03-01,406,388.0030633214136,393.03124735826674
1959-04-01,396,389.3721628939885,390.448508876621
1959-05-01,420,410.83386226419236,397.68484372833575
1959-06-01,472,485.46270870888753,484.26974136252664
1959-07-01,548,532.4237822598726,523.6338639893087
1959-08-01,559,554.8718600940001,544.8477735112994
1959-09-01,463,462.9298537329207,477.6625413115618
1959-10-01,407,416.16243866009256,401.2363756328528
1959-11-01,362,359.6576075180984,351.07170284836553
1959-12-01,405,386.6771627232569,401.3843186829673
1960-01-01,417,421.88453466876206,412.9619071717206
1960-02-01,391,401.7416820061669,397.88735212364355
1960-03-01,419,452.2061836729587,451.1605290329908
1960-04-01,461,413.6845944067893,404.88847184375066
1960-05-01,472,466.1356870594636,457.64634860026536
1960-06-01,535,535.1731626429513,538.2362757656219
1960-07-01,622,606.0453635623,598.4386879092125
1960-08-01,606,630.0539017424339,621.1037399170341
1960-09-01,508,513.3976221862139,515.0104972591099
1960-10-01,461,456.56963966525177,441.5896007194532
1960-11-01,390,416.2803019230919,395.5534012565047
1960-12-01,432,440.88021158802263,432.6338461296957
